group_id,fairness_id,user_id,theta
0,2275,3971,0.10125572979450226
0,2276,2819,-0.01551918312907219
0,2281,361,0.05913953855633736
0,2299,1946,-0.003321234602481127
0,2396,22,-0.076209157705307
0,2412,712,-0.1058463305234909
0,2416,2868,-0.1888161599636078
0,2426,2795,0.07831744104623795
0,2427,4034,0.168890118598938
0,2428,2417,-0.002134314738214016
0,2429,2429,0.08398745208978653
0,2430,2871,-0.047747958451509476
0,2431,3600,-0.10620749741792679
0,2441,2838,-0.028678398579359055
0,2447,2807,-0.013022767379879951
0,2454,2706,0.13298316299915314
0,2457,3154,0.26385900378227234
0,2460,3465,-0.07224636524915695
0,2461,1495,-0.09609629958868027
0,2462,1601,-0.011886932887136936
0,2463,3428,-0.01871221512556076
0,2468,188,0.002255648374557495
0,2472,1198,-0.13994893431663513
0,2473,2630,-0.17634670436382294
0,2474,2895,-0.10983549058437347
0,2475,3672,-0.084092877805233
0,2476,3085,0.018773404881358147
0,2485,1951,0.1920926719903946
0,2486,530,0.07572617381811142
0,2487,1866,-0.08189382404088974
0,2488,2552,-0.04688065126538277
0,2489,360,0.21478448808193207
0,2490,2101,-0.07855717837810516
0,2491,935,0.05107146129012108
0,2492,2482,-0.17178058624267578
0,2493,4117,-0.02111848071217537
1,1,127,-0.02261362597346306
1,2,144,0.000636169919744134
1,3,593,-0.024393964558839798
1,4,718,-0.12605097889900208
1,5,1018,0.13241520524024963
1,6,1057,-0.0011921148980036378
1,7,1117,-0.18512645363807678
1,8,1130,0.11383560299873352
1,9,1615,0.012583604082465172
1,10,2099,-0.06805092841386795
2,11,307,-0.10495199263095856
2,12,437,0.010940522886812687
2,13,519,0.035818591713905334
2,14,697,0.05459572747349739
2,15,742,-0.13701069355010986
2,16,782,0.02693539671599865
2,17,1002,0.17165431380271912
2,18,1014,-0.15400734543800354
2,19,1029,-0.056886643171310425
2,20,1443,0.05170723423361778
3,21,4,0.0547817200422287
3,22,50,0.10466834902763367
3,23,902,-0.09035373479127884
3,24,915,-0.18955719470977783
3,25,1041,-0.0014474779600277543
3,26,1056,0.20649471879005432
3,27,1084,0.05746542289853096
4,28,13,-0.005149712786078453
4,29,55,-0.05197200924158096
4,30,153,-0.004410747438669205
4,31,177,-0.21744543313980103
4,32,218,0.014150706119835377
4,33,670,0.033831749111413956
4,34,766,-0.024114513769745827
4,35,855,-0.15325525403022766
4,36,866,0.006837127730250359
4,37,933,-0.1175711527466774
5,38,45,0.060133181512355804
5,39,114,-0.021937845274806023
5,40,481,-0.0466182678937912
5,41,671,0.10149428248405457
5,42,745,-0.05538131296634674
5,43,2180,-0.11332417279481888
5,44,2220,0.05689120292663574
5,45,2690,0.058079276233911514
5,46,2695,-0.029893940314650536
5,47,3128,-0.01923236809670925
6,48,492,0.16470378637313843
6,49,522,-0.1214507520198822
6,50,525,-0.0077011678367853165
6,51,2151,-0.041776251047849655
6,52,2278,0.018238740041851997
6,53,2279,0.016439273953437805
6,54,2694,-0.0028149080462753773
6,55,2725,-0.12750144302845
6,56,2925,-0.030485326424241066
6,57,3119,0.03972596675157547
7,58,106,-0.05893169716000557
7,59,559,-0.008784172125160694
7,60,719,0.0027996450662612915
7,61,927,-0.1647544801235199
7,62,1015,0.1382269412279129
7,63,1050,0.09249711781740189
7,64,1694,0.2421543151140213
7,65,1842,0.07010838389396667
7,66,2316,-0.013221259228885174
7,67,2342,0.013812016695737839
8,68,48,-0.04437636211514473
8,69,111,0.11258663982152939
8,70,275,0.025481218472123146
8,71,1036,0.07707227021455765
8,72,1513,0.0494346059858799
8,73,2128,-0.11472363770008087
