user_id,item_id,score,group_id,fairness_id
127,15222,1,1,1
127,9000,1,1,1
127,13841,1,1,1
127,11206,1,1,1
127,14733,0,1,1
127,13906,1,1,1
127,15223,1,1,1
127,1542,1,1,1
127,15729,1,1,1
127,2080,1,1,1
127,9009,1,1,1
127,14314,1,1,1
127,13726,1,1,1
127,8360,1,1,1
127,15725,1,1,1
127,1821,1,1,1
127,15313,1,1,1
127,113,1,1,1
127,15777,1,1,1
127,4389,0,1,1
127,11465,1,1,1
127,7456,1,1,1
127,13760,1,1,1
127,2093,0,1,1
127,9466,1,1,1
127,11497,0,1,1
127,14869,1,1,1
127,15909,1,1,1
127,8788,1,1,1
127,1381,0,1,1
127,4587,1,1,1
127,13728,0,1,1
127,354,1,1,1
127,15808,1,1,1
127,14678,1,1,1
127,15821,1,1,1
127,104,1,1,1
127,13836,1,1,1
127,2479,0,1,1
127,12001,1,1,1
127,14997,1,1,1
127,5191,1,1,1
127,1031,1,1,1
127,15819,1,1,1
127,7929,1,1,1
127,14774,1,1,1
127,14290,1,1,1
127,14864,1,1,1
127,1314,1,1,1
127,5869,1,1,1
127,14794,1,1,1
127,8913,1,1,1
127,13842,1,1,1
127,162,1,1,1
127,8992,1,1,1
127,14545,1,1,1
127,1585,1,1,1
127,15820,1,1,1
127,8321,1,1,1
127,10296,0,1,1
127,3039,0,1,1
127,9049,1,1,1
127,8234,1,1,1
127,13648,1,1,1
127,17504,1,1,1
127,2797,1,1,1
127,1319,1,1,1
127,4321,1,1,1
127,1971,1,1,1
127,9248,1,1,1
127,2490,1,1,1
127,14861,1,1,1
127,14532,0,1,1
127,15767,0,1,1
127,8239,0,1,1
127,7496,1,1,1
127,11758,1,1,1
127,13810,1,1,1
127,4915,0,1,1
127,6214,1,1,1
127,15002,1,1,1
127,12330,1,1,1
127,14230,1,1,1
127,4002,0,1,1
127,14686,1,1,1
127,5683,1,1,1
127,1504,1,1,1
127,907,1,1,1
127,1483,1,1,1
127,13725,1,1,1
127,11457,1,1,1
127,13106,1,1,1
127,12015,1,1,1
127,9432,1,1,1
127,6474,1,1,1
127,3935,0,1,1
127,1569,1,1,1
127,3064,1,1,1
127,6211,1,1,1
127,16425,1,1,1
127,14684,0,1,1
127,13856,1,1,1
127,8975,1,1,1
127,15001,1,1,1
127,14534,1,1,1
127,8255,1,1,1
127,8961,1,1,1
127,4131,1,1,1
127,6257,1,1,1
127,7807,1,1,1
127,934,1,1,1
127,3019,0,1,1
127,8347,1,1,1
127,15867,0,1,1
127,4818,1,1,1
127,14918,1,1,1
127,6138,1,1,1
127,1052,1,1,1
127,805,1,1,1
127,15310,0,1,1
127,14775,1,1,1
127,2998,1,1,1
127,8318,1,1,1
127,12122,1,1,1
127,14773,0,1,1
127,5067,1,1,1
127,14038,1,1,1
127,2756,1,1,1
127,7460,1,1,1
127,6271,1,1,1
127,1016,1,1,1
127,8663,1,1,1
127,11107,1,1,1
127,505,1,1,1
127,118,1,1,1
127,15339,1,1,1
127,13759,1,1,1
127,8818,1,1,1
127,9423,1,1,1
127,1935,0,1,1
127,14685,1,1,1
127,5874,1,1,1
127,3122,1,1,1
127,2742,0,1,1
127,1824,0,1,1
127,13857,1,1,1
127,12916,1,1,1
127,10935,1,1,1
127,999,1,1,1
127,3976,1,1,1
127,14037,1,1,1
127,14680,0,1,1
127,7794,1,1,1
127,4941,1,1,1
127,9006,1,1,1
127,13440,0,1,1
127,14907,0,1,1
127,10249,1,1,1
127,15717,0,1,1
127,8956,1,1,1
127,7885,1,1,1
127,1329,1,1,1
127,7497,1,1,1
127,10271,1,1,1
127,4004,1,1,1
127,2465,1,1,1
127,13932,0,1,1
127,1944,1,1,1
127,5224,1,1,1
127,13833,0,1,1
127,1983,0,1,1
127,1973,1,1,1
127,10373,1,1,1
127,93,1,1,1
127,3046,1,1,1
127,14024,1,1,1
127,11441,1,1,1
127,13837,1,1,1
127,1917,1,1,1
127,3874,1,1,1
127,14502,1,1,1
127,488,1,1,1
127,7492,1,1,1
127,6322,0,1,1
127,607,1,1,1
127,15341,1,1,1
127,15070,1,1,1
127,1550,1,1,1
127,3914,1,1,1
127,1595,0,1,1
127,15911,1,1,1
127,15718,0,1,1
127,6481,1,1,1
127,12929,1,1,1
127,4527,1,1,1
127,14705,1,1,1
127,14679,0,1,1
127,396,0,1,1
127,16460,1,1,1
127,3965,1,1,1
127,13470,1,1,1
127,15311,0,1,1
127,14798,1,1,1
127,15414,0,1,1
127,8786,1,1,1
127,13757,0,1,1
127,3041,1,1,1
127,5165,1,1,1
127,8132,1,1,1
127,7802,0,1,1
127,4665,0,1,1
127,6413,1,1,1
127,8841,1,1,1
127,12339,1,1,1
127,2985,1,1,1
127,13853,1,1,1
127,13641,0,1,1
127,5448,1,1,1
127,14996,0,1,1
127,2463,0,1,1
127,98,1,1,1
127,15224,0,1,1
127,13108,1,1,1
127,2523,1,1,1
127,11359,1,1,1
127,393,1,1,1
127,1785,1,1,1
127,3489,1,1,1
127,2514,0,1,1
127,437,1,1,1
127,12327,1,1,1
127,13855,1,1,1
127,8461,1,1,1
127,3048,1,1,1
127,15893,1,1,1
127,14270,0,1,1
127,12464,1,1,1
127,15018,0,1,1
127,2470,1,1,1
127,1957,1,1,1
127,12322,1,1,1
127,14592,0,1,1
127,15722,1,1,1
127,10272,1,1,1
127,15504,1,1,1
127,6232,1,1,1
127,3918,1,1,1
127,14713,0,1,1
127,5512,1,1,1
127,12474,1,1,1
127,14292,1,1,1
127,8460,1,1,1
127,383,1,1,1
127,1597,1,1,1
127,3040,1,1,1
127,13840,1,1,1
127,2013,1,1,1
127,11785,1,1,1
127,2469,1,1,1
127,14882,0,1,1
127,15418,1,1,1
127,2530,0,1,1
127,10283,0,1,1
127,5245,1,1,1
127,97,0,1,1
127,4664,1,1,1
127,13469,0,1,1
127,3002,1,1,1
127,2352,1,1,1
127,677,0,1,1
127,6065,1,1,1
127,3723,1,1,1
127,3037,1,1,1
127,1936,1,1,1
127,14857,1,1,1
127,2277,1,1,1
127,10243,1,1,1
127,827,1,1,1
127,1715,1,1,1
127,3281,1,1,1
127,13468,1,1,1
127,4376,1,1,1
127,14225,1,1,1
127,2767,1,1,1
127,14683,0,1,1
127,2817,1,1,1
127,117,1,1,1
127,13430,1,1,1
127,12174,0,1,1
127,77,1,1,1
127,1375,1,1,1
127,5378,1,1,1
127,5194,0,1,1
127,3897,1,1,1
127,4394,1,1,1
127,2478,1,1,1
127,1054,1,1,1
127,12946,1,1,1
127,14533,1,1,1
127,8912,1,1,1
127,1120,1,1,1
127,11706,1,1,1
127,14211,0,1,1
127,1346,1,1,1
127,4023,1,1,1
127,1578,1,1,1
127,11260,0,1,1
127,14213,0,1,1
127,42,1,1,1
127,6502,1,1,1
127,4050,1,1,1
127,3038,1,1,1
127,16517,0,1,1
127,14212,1,1,1
127,7441,1,1,1
127,7503,1,1,1
127,4898,0,1,1
127,13762,1,1,1
127,1469,0,1,1
127,64,1,1,1
127,11326,1,1,1
127,5258,0,1,1
127,1987,1,1,1
127,11435,1,1,1
127,10273,1,1,1
127,1004,1,1,1
127,2466,1,1,1
127,3899,1,1,1
127,4397,0,1,1
127,14214,1,1,1
127,4662,1,1,1
127,5828,1,1,1
127,14933,1,1,1
127,3979,0,1,1
127,3016,1,1,1
127,13832,1,1,1
127,14593,1,1,1
127,3042,0,1,1
127,7902,1,1,1
127,14716,0,1,1
127,14682,1,1,1
127,12910,1,1,1
127,4980,1,1,1
127,14054,0,1,1
127,8459,0,1,1
127,4919,1,1,1
127,7436,0,1,1
127,13666,0,1,1
127,103,1,1,1
127,15502,1,1,1
127,3982,1,1,1
127,15806,1,1,1
127,55,1,1,1
127,14066,0,1,1
127,14998,1,1,1
127,13758,1,1,1
127,14291,1,1,1
127,3871,1,1,1
127,8198,0,1,1
127,13858,1,1,1
127,14595,0,1,1
127,4940,0,1,1
127,5858,1,1,1
127,7793,1,1,1
127,13763,1,1,1
127,13854,1,1,1
127,1272,1,1,1
127,3901,0,1,1
127,3079,0,1,1
127,14906,1,1,1
127,3001,1,1,1
127,1754,1,1,1
127,15420,1,1,1
127,3941,1,1,1
127,14999,1,1,1
127,5155,1,1,1
127,13691,1,1,1
127,10378,0,1,1
127,2586,1,1,1
127,12334,1,1,1
127,4021,1,1,1
127,4067,0,1,1
127,15835,1,1,1
127,7800,1,1,1
127,15312,1,1,1
127,15805,1,1,1
127,3117,1,1,1
127,8802,1,1,1
127,14060,0,1,1
127,13852,1,1,1
127,11434,1,1,1
127,2723,1,1,1
127,7964,1,1,1
127,4889,1,1,1
144,17418,0,1,2
144,14921,1,1,2
144,11372,0,1,2
144,9695,0,1,2
144,15001,1,1,2
144,13150,1,1,2
144,9319,0,1,2
144,5062,1,1,2
144,9169,0,1,2
144,1215,1,1,2
144,5944,1,1,2
144,1051,1,1,2
144,15833,0,1,2
144,7885,1,1,2
144,11443,1,1,2
144,12091,1,1,2
144,15737,0,1,2
144,15152,1,1,2
144,12348,1,1,2
144,14797,1,1,2
144,12512,1,1,2
144,15704,0,1,2
144,15794,1,1,2
144,6758,1,1,2
144,15786,1,1,2
144,10678,0,1,2
144,15269,1,1,2
144,17445,0,1,2
144,4282,0,1,2
144,16474,1,1,2
144,13818,1,1,2
144,1361,1,1,2
