user_id,item_id,score,fairness_id
1,691,1,11.0
1,304,0,11.0
1,142,1,11.0
1,755,1,11.0
1,367,1,11.0
1,215,1,11.0
1,751,1,11.0
1,510,1,11.0
1,80,1,11.0
1,620,1,11.0
1,593,1,11.0
1,687,1,11.0
1,309,1,11.0
1,168,1,11.0
1,560,1,11.0
1,329,1,11.0
1,86,1,11.0
1,684,1,11.0
1,518,1,11.0
1,387,1,11.0
1,701,1,11.0
1,169,1,11.0
1,128,1,11.0
1,108,1,11.0
1,817,1,11.0
1,318,1,11.0
1,253,1,11.0
1,663,1,11.0
1,572,1,11.0
1,545,1,11.0
1,410,1,11.0
1,98,1,11.0
1,519,1,11.0
1,83,1,11.0
1,723,1,11.0
1,555,1,11.0
1,439,1,11.0
1,598,1,11.0
1,762,1,11.0
1,146,1,11.0
1,586,1,11.0
1,306,0,11.0
1,294,1,11.0
1,529,1,11.0
1,765,1,11.0
1,434,1,11.0
1,455,1,11.0
1,138,1,11.0
1,428,1,11.0
1,355,1,11.0
1,77,1,11.0
1,273,1,11.0
1,752,1,11.0
1,259,1,11.0
1,425,1,11.0
1,647,1,11.0
1,648,1,11.0
1,242,1,11.0
1,426,1,11.0
1,340,1,11.0
1,51,1,11.0
1,163,1,11.0
1,646,1,11.0
1,54,1,11.0
1,581,1,11.0
1,770,1,11.0
1,361,1,11.0
1,331,1,11.0
1,630,1,11.0
1,651,1,11.0
1,822,1,11.0
1,639,1,11.0
1,742,1,11.0
1,615,1,11.0
1,119,1,11.0
1,509,1,11.0
1,609,1,11.0
1,782,1,11.0
1,277,1,11.0
1,21,1,11.0
1,70,1,11.0
1,305,1,11.0
1,483,1,11.0
1,453,1,11.0
1,502,1,11.0
1,8,1,11.0
1,192,1,11.0
1,405,1,11.0
1,516,1,11.0
1,385,1,11.0
1,4,1,11.0
1,820,1,11.0
1,275,1,11.0
1,642,1,11.0
1,812,1,11.0
1,90,1,11.0
1,315,1,11.0
1,27,1,11.0
1,260,1,11.0
1,665,1,11.0
1,7,1,11.0
1,539,1,11.0
1,66,1,11.0
1,251,1,11.0
1,100,1,11.0
1,497,1,11.0
1,463,1,11.0
1,78,1,11.0
1,102,1,11.0
1,788,1,11.0
1,386,1,11.0
1,241,1,11.0
1,15,1,11.0
1,157,1,11.0
1,246,1,11.0
1,564,1,11.0
1,296,1,11.0
1,181,1,11.0
1,347,1,11.0
1,627,1,11.0
1,10,1,11.0
1,535,1,11.0
1,622,1,11.0
1,226,1,11.0
3,512,1,31.0
3,352,1,31.0
3,140,1,31.0
3,256,1,31.0
3,341,1,31.0
3,673,1,31.0
3,446,1,31.0
3,572,1,31.0
3,499,1,31.0
3,266,1,31.0
